request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other,search_20_trained,search_10_trained
эволюция мастурбации,[6162],1,"[41, 2053, 4627, 4346, 2802, 7467, 6565, 7043, 4660, 6263, 8036, 216, 7788, 2678, 410, 886, 6162, 4370, 4356, 2428]","[41, 2053, 4627, 4346, 2802, 7467, 6565, 7043, 4660, 6263]","[216, 41, 6495, 5532, 840, 4258, 5281, 1842, 2053, 3290, 536, 1584, 4371, 7172, 1473, 1633, 6499, 8073, 7178, 1454]","[216, 41, 6495, 5532, 840, 4258, 5281, 1842, 2053, 3290]","[41, 536, 216, 7172, 3604, 6495, 543, 575, 4356, 4074, 3252, 5289, 1842, 4371, 5839, 8236, 1473, 8246, 1633, 5314]","[41, 536, 216, 7172, 3604, 6495, 543, 575, 4356, 4074]","[41, 4258, 2678, 216, 7172, 410, 6499, 847, 2802, 5102, 3472, 6565, 2613, 3976, 7459, 7750, 840, 1766, 536, 1633]","[41, 4258, 2678, 216, 7172, 410, 6499, 847, 2802, 5102]"
применение жиров для защиты от ржавчины,[995],1,"[995, 1934, 633, 7689, 1509, 205, 2443, 687, 7375, 3091, 4948, 1320, 1129, 6009, 129, 2553, 7833, 759, 7265, 7635]","[995, 1934, 633, 7689, 1509, 205, 2443, 687, 7375, 3091]","[3819, 5001, 995, 2443, 1320, 3953, 1934, 3024, 759, 7726, 7454, 1743, 825, 4509, 7047, 3353, 7517, 5161, 2017, 2578]","[3819, 5001, 995, 2443, 1320, 3953, 1934, 3024, 759, 7726]","[995, 1320, 205, 1885, 1934, 1129, 1743, 759, 6731, 776, 7375, 2443, 179, 3475, 584, 7080, 3819, 3467, 2017, 4522]","[995, 1320, 205, 1885, 1934, 1129, 1743, 759, 6731, 776]","[995, 6131, 5462, 4089, 4658, 7833, 1044, 1997, 113, 7047, 6238, 7726, 7265, 6731, 5550, 4428, 7454, 3813, 1292, 6459]","[995, 6131, 5462, 4089, 4658, 7833, 1044, 1997, 113, 7047]"
геном человека и вирусы,[7104],1,"[6216, 7952, 6647, 7104, 7704, 640, 7774, 5653, 3191, 7084, 3391, 6757, 8211, 6333, 3850, 4420, 4398, 4630, 7491, 7204]","[6216, 7952, 6647, 7104, 7704, 640, 7774, 5653, 3191, 7084]","[5653, 7952, 6216, 6647, 7084, 3391, 5979, 7704, 7104, 6291, 640, 7476, 7774, 4081, 8131, 3249, 6277, 6333, 5634, 6787]","[5653, 7952, 6216, 6647, 7084, 3391, 5979, 7704, 7104, 6291]","[7952, 5653, 3391, 6216, 7704, 4420, 5542, 5423, 3249, 8211, 4524, 3221, 1783, 6647, 5900, 2094, 8010, 7084, 1584, 4630]","[7952, 5653, 3391, 6216, 7704, 4420, 5542, 5423, 3249, 8211]","[5653, 4398, 7952, 6647, 7104, 3391, 5979, 6757, 5199, 6216, 7201, 6430, 5948, 7774, 5542, 6489, 6021, 5408, 1524, 1888]","[5653, 4398, 7952, 6647, 7104, 3391, 5979, 6757, 5199, 6216]"
новости про аварии в нефтехранилищах,[7098],1,"[4637, 4882, 7921, 7098, 3615, 7863, 6049, 5655, 3152, 642, 6974, 8125, 4182, 6397, 120, 6360, 5457, 2153, 2936, 2063]","[4637, 4882, 7921, 7098, 3615, 7863, 6049, 5655, 3152, 642]","[7809, 5457, 4637, 7595, 8125, 3615, 6884, 1076, 7645, 4882, 6049, 6974, 7863, 7921, 718, 4935, 1367, 4712, 2936, 5655]","[7809, 5457, 4637, 7595, 8125, 3615, 6884, 1076, 7645, 4882]","[4637, 7921, 3615, 6974, 7595, 6360, 7863, 3152, 2936, 8125, 1926, 642, 7809, 892, 2153, 3704, 5655, 1076, 5457, 6884]","[4637, 7921, 3615, 6974, 7595, 6360, 7863, 3152, 2936, 8125]","[7645, 6134, 2153, 4798, 6545, 4935, 4982, 5457, 6713, 5655, 5682, 7177, 2247, 5205, 3152, 7298, 6506, 7486, 497, 543]","[7645, 6134, 2153, 4798, 6545, 4935, 4982, 5457, 6713, 5655]"
влияние кокаина на дрозофил,[1025],1,"[2484, 7233, 307, 1439, 7864, 7087, 4380, 7406, 4846, 5326, 266, 1549, 3068, 6847, 1325, 6664, 3996, 7873, 6710, 6806]","[2484, 7233, 307, 1439, 7864, 7087, 4380, 7406, 4846, 5326]","[3649, 7233, 109, 2484, 4072, 7768, 7406, 3330, 6664, 181, 7873, 7660, 731, 7087, 3897, 289, 481, 5229, 4846, 6947]","[3649, 7233, 109, 2484, 4072, 7768, 7406, 3330, 6664, 181]","[266, 1025, 5048, 7233, 957, 6847, 3543, 1982, 17, 7356, 289, 3996, 1295, 731, 6664, 8155, 5326, 7873, 2134, 450]","[266, 1025, 5048, 7233, 957, 6847, 3543, 1982, 17, 7356]","[4846, 307, 7982, 6017, 1025, 5616, 2628, 1992, 6204, 3543, 6357, 704, 7406, 1157, 5026, 3416, 1549, 7660, 6177, 2134]","[4846, 307, 7982, 6017, 1025, 5616, 2628, 1992, 6204, 3543]"
статьи про персонализацию обучения,[4053],1,"[6672, 4750, 2600, 7695, 7206, 3919, 1032, 7898, 1938, 3355, 6134, 4612, 7007, 743, 4802, 6567, 6124, 2458, 656, 7452]","[6672, 4750, 2600, 7695, 7206, 3919, 1032, 7898, 1938, 3355]","[6672, 4053, 5589, 7695, 7970, 6694, 2482, 3942, 743, 1127, 3919, 6891, 3042, 6460, 1480, 5163, 2224, 3882, 2055, 2600]","[6672, 4053, 5589, 7695, 7970, 6694, 2482, 3942, 743, 1127]","[1480, 3042, 7695, 2634, 4802, 6460, 5825, 6891, 3946, 1699, 6672, 412, 3106, 2998, 5589, 6172, 6821, 1859, 5053, 2458]","[1480, 3042, 7695, 2634, 4802, 6460, 5825, 6891, 3946, 1699]","[4053, 6672, 1804, 6283, 5589, 7695, 4750, 3106, 6821, 743, 438, 4802, 1127, 2998, 4999, 4612, 7452, 4173, 5357, 4798]","[4053, 6672, 1804, 6283, 5589, 7695, 4750, 3106, 6821, 743]"
история восстания евреев против Рима,[4180],1,"[172, 3237, 6852, 6230, 7438, 7376, 1075, 1186, 362, 1312, 6365, 2995, 7673, 5625, 3714, 2786, 5699, 2610, 4180, 5931]","[172, 3237, 6852, 6230, 7438, 7376, 1075, 1186, 362, 1312]","[6845, 7376, 7438, 172, 3237, 2995, 6230, 3714, 1186, 7046, 4572, 7601, 5931, 1075, 5870, 6185, 1312, 5625, 4180, 2786]","[6845, 7376, 7438, 172, 3237, 2995, 6230, 3714, 1186, 7046]","[172, 7438, 6852, 2995, 7376, 3237, 362, 5625, 6230, 7046, 2786, 1075, 5716, 6845, 3714, 4180, 5870, 5931, 1312, 3468]","[172, 7438, 6852, 2995, 7376, 3237, 362, 5625, 6230, 7046]","[6845, 6900, 7046, 7438, 5551, 1221, 7376, 6862, 158, 1312, 2610, 2469, 3321, 3279, 7570, 3237, 7185, 7673, 2632, 1273]","[6845, 6900, 7046, 7438, 5551, 1221, 7376, 6862, 158, 1312]"
статьи про использование промышленных отходов в строительстве,[6413],1,"[8109, 823, 2090, 3642, 3291, 991, 1969, 2259, 757, 5002, 211, 7538, 5036, 4817, 999, 2415, 5782, 1015, 3168, 6999]","[8109, 823, 2090, 3642, 3291, 991, 1969, 2259, 757, 5002]","[5002, 8109, 823, 3460, 1969, 991, 7538, 2090, 3291, 2259, 685, 2032, 4918, 7028, 757, 3642, 5101, 262, 7202, 2415]","[5002, 8109, 823, 3460, 1969, 991, 7538, 2090, 3291, 2259]","[8109, 5002, 7538, 3642, 6999, 823, 2833, 2259, 3627, 7436, 1913, 3460, 7397, 1969, 2783, 5036, 5101, 4406, 3291, 999]","[8109, 5002, 7538, 3642, 6999, 823, 2833, 2259, 3627, 7436]","[8109, 991, 3291, 3460, 7538, 5101, 5002, 3418, 7202, 5782, 5178, 7881, 2090, 1969, 6498, 211, 685, 4817, 999, 2032]","[8109, 991, 3291, 3460, 7538, 5101, 5002, 3418, 7202, 5782]"
сырье для гормона счастья,[6067],1,"[8247, 3648, 7296, 7828, 1341, 7358, 7188, 5811, 2662, 3283, 5001, 7454, 1688, 7697, 6146, 5550, 549, 2023, 7918, 7001]","[8247, 3648, 7296, 7828, 1341, 7358, 7188, 5811, 2662, 3283]","[4121, 3648, 2367, 7454, 5001, 7047, 344, 1934, 7918, 5417, 6635, 181, 6948, 6618, 1129, 5811, 4633, 7839, 6631, 4405]","[4121, 3648, 2367, 7454, 5001, 7047, 344, 1934, 7918, 5417]","[3648, 8247, 1934, 4405, 4633, 7047, 791, 7697, 5811, 1509, 1941, 2138, 8155, 7454, 4524, 8107, 2033, 5001, 5550, 7839]","[3648, 8247, 1934, 4405, 4633, 7047, 791, 7697, 5811, 1509]","[8247, 5811, 3232, 3283, 2033, 7296, 7828, 6146, 3122, 8197, 2160, 2751, 1735, 2768, 7603, 4069, 2542, 7740, 549, 602]","[8247, 5811, 3232, 3283, 2033, 7296, 7828, 6146, 3122, 8197]"
инновации в области возобновляемых источников энергии,[6719],1,"[3627, 4249, 2406, 5241, 2298, 5695, 1499, 5368, 5383, 1268, 5781, 4174, 1117, 1771, 1872, 7845, 7459, 3358, 7881, 6719]","[3627, 4249, 2406, 5241, 2298, 5695, 1499, 5368, 5383, 1268]","[2406, 4249, 4512, 5801, 1872, 1771, 5695, 6719, 1499, 1268, 5681, 2440, 3627, 6730, 5124, 4484, 2298, 1807, 7845, 3452]","[2406, 4249, 4512, 5801, 1872, 1771, 5695, 6719, 1499, 1268]","[2406, 1268, 4512, 4249, 5695, 2440, 3627, 1872, 2227, 5801, 5241, 6065, 1771, 3824, 5223, 4484, 5368, 4174, 7845, 634]","[2406, 1268, 4512, 4249, 5695, 2440, 3627, 1872, 2227, 5801]","[4249, 3627, 2406, 5383, 1771, 1499, 6065, 5695, 6730, 4512, 5241, 1872, 5363, 2440, 6506, 7845, 1268, 7881, 2434, 3136]","[4249, 3627, 2406, 5383, 1771, 1499, 6065, 5695, 6730, 4512]"
исследования в РТУ МИРЭА,[2829],1,"[2776, 1348, 1821, 1569, 1161, 836, 1134, 1251, 1180, 1423, 2732, 2194, 2135, 1674, 2507, 2215, 308, 1630, 2829, 2619]","[2776, 1348, 1821, 1569, 1161, 836, 1134, 1251, 1180, 1423]","[2776, 2732, 1161, 1423, 1134, 1569, 1770, 2829, 1630, 1644, 1110, 1700, 2193, 1821, 2135, 1117, 219, 1784, 836, 163]","[2776, 2732, 1161, 1423, 1134, 1569, 1770, 2829, 1630, 1644]","[2829, 1161, 2776, 3835, 4841, 1569, 2623, 1770, 1674, 1644, 2732, 6464, 6617, 1251, 2135, 1423, 3505, 6843, 1552, 2215]","[2829, 1161, 2776, 3835, 4841, 1569, 2623, 1770, 1674, 1644]","[1050, 1451, 2441, 2776, 1630, 2732, 2194, 2829, 1117, 2193, 1144, 1784, 163, 2716, 2147, 1180, 2092, 1644, 1821, 1110]","[1050, 1451, 2441, 2776, 1630, 2732, 2194, 2829, 1117, 2193]"
влияние Тетиса на климат Земли,[4854],1,"[4854, 7162, 7976, 8076, 1157, 7076, 8017, 5945, 2123, 2585, 7962, 1835, 8258, 103, 1265, 4198, 4442, 775, 1414, 4097]","[4854, 7162, 7976, 8076, 1157, 7076, 8017, 5945, 2123, 2585]","[4854, 7976, 941, 1211, 2124, 1045, 1488, 1835, 3754, 7032, 6016, 8076, 6542, 1272, 4839, 103, 6753, 1950, 4198, 491]","[4854, 7976, 941, 1211, 2124, 1045, 1488, 1835, 3754, 7032]","[4854, 5393, 3754, 3805, 7209, 3408, 4198, 8076, 3823, 4097, 217, 7976, 2123, 2758, 5945, 1835, 2925, 699, 4518, 2772]","[4854, 5393, 3754, 3805, 7209, 3408, 4198, 8076, 3823, 4097]","[4854, 1414, 1488, 2758, 4513, 491, 6591, 4140, 6467, 3820, 7919, 4264, 2089, 6726, 2116, 3805, 4518, 4083, 6584, 7725]","[4854, 1414, 1488, 2758, 4513, 491, 6591, 4140, 6467, 3820]"
прогнозирование наводнений и засух,[77],1,"[3326, 3621, 6425, 5059, 7462, 581, 3912, 7572, 5297, 676, 4882, 4186, 4544, 4173, 3159, 2695, 658, 4674, 6920, 3585]","[3326, 3621, 6425, 5059, 7462, 581, 3912, 7572, 5297, 676]","[3326, 1258, 4587, 3621, 3054, 5297, 7022, 5458, 2493, 4035, 5968, 7396, 2054, 7462, 3200, 326, 5296, 4169, 581, 6485]","[3326, 1258, 4587, 3621, 3054, 5297, 7022, 5458, 2493, 4035]","[3326, 4587, 3621, 2493, 581, 2054, 4035, 1455, 5297, 3585, 5059, 3159, 7022, 5901, 2760, 6920, 3200, 5968, 6425, 785]","[3326, 4587, 3621, 2493, 581, 2054, 4035, 1455, 5297, 3585]","[3621, 4587, 2493, 5297, 3912, 581, 7197, 5968, 2054, 658, 5895, 7572, 3585, 1455, 7022, 3326, 5822, 7189, 4035, 6425]","[3621, 4587, 2493, 5297, 3912, 581, 7197, 5968, 2054, 658]"
статьи о влиянии глобального потепления на Арктику,[5619],1,"[2772, 6167, 2797, 6536, 7076, 1272, 2880, 6591, 5455, 3981, 2585, 8181, 4083, 7294, 8037, 3949, 6920, 3576, 5876, 1837]","[2772, 6167, 2797, 6536, 7076, 1272, 2880, 6591, 5455, 3981]","[2772, 6167, 3294, 8037, 3971, 2585, 637, 5455, 2880, 6524, 1272, 7076, 1837, 7783, 4760, 5373, 4198, 8265, 581, 2796]","[2772, 6167, 3294, 8037, 3971, 2585, 637, 5455, 2880, 6524]","[2772, 637, 4198, 6167, 2880, 3971, 8037, 3294, 4760, 6591, 4665, 5455, 7679, 3599, 7076, 2797, 4331, 1837, 7032, 8196]","[2772, 637, 4198, 6167, 2880, 3971, 8037, 3294, 4760, 6591]","[4760, 5373, 2880, 5059, 188, 5036, 6918, 549, 3971, 1485, 5482, 4854, 6098, 6591, 3196, 6920, 8181, 4674, 6524, 8037]","[4760, 5373, 2880, 5059, 188, 5036, 6918, 549, 3971, 1485]"
исследования черепно-мозговых травм,[5689],1,"[8067, 5517, 2992, 1481, 4910, 2375, 4070, 2382, 8150, 3041, 106, 7154, 1368, 1632, 7753, 4738, 244, 2611, 3844, 5689]","[8067, 5517, 2992, 1481, 4910, 2375, 4070, 2382, 8150, 3041]","[5517, 2992, 8067, 1481, 5689, 2611, 2464, 106, 1632, 5144, 4070, 8150, 2557, 242, 5387, 1117, 169, 2606, 1717, 1368]","[5517, 2992, 8067, 1481, 5689, 2611, 2464, 106, 1632, 5144]","[8067, 5517, 6032, 5387, 7753, 106, 5252, 5353, 4738, 5689, 4165, 4416, 2992, 8150, 1236, 3348, 1717, 1481, 7516, 169]","[8067, 5517, 6032, 5387, 7753, 106, 5252, 5353, 4738, 5689]","[8067, 6379, 2992, 5517, 1481, 1117, 106, 3041, 6032, 4910, 3835, 3032, 6793, 3844, 8239, 3095, 8150, 5144, 2094, 5689]","[8067, 6379, 2992, 5517, 1481, 1117, 106, 3041, 6032, 4910]"
статьи про создание цифровых двойников регионов,[6014],1,"[6014, 3347, 7767, 77, 4195, 639, 2505, 5671, 3014, 1895, 2107, 3126, 5817, 1768, 5828, 5818, 2372, 8128, 733, 4798]","[6014, 3347, 7767, 77, 4195, 639, 2505, 5671, 3014, 1895]","[6014, 3347, 639, 2505, 4195, 77, 5288, 7767, 1768, 4525, 5671, 906, 674, 4812, 400, 1895, 6713, 1725, 2107, 7664]","[6014, 3347, 639, 2505, 4195, 77, 5288, 7767, 1768, 4525]","[6014, 3347, 1768, 639, 2505, 2107, 8128, 4195, 77, 4525, 4302, 2481, 2918, 674, 1725, 6066, 7767, 5671, 5288, 858]","[6014, 3347, 1768, 639, 2505, 2107, 8128, 4195, 77, 4525]","[3347, 639, 6014, 77, 7767, 2505, 8128, 2107, 4195, 6995, 6713, 4525, 6066, 1895, 5834, 4302, 7089, 674, 5671, 6225]","[3347, 639, 6014, 77, 7767, 2505, 8128, 2107, 4195, 6995]"
статьи про генетически модифицированные микроорганизмы,[5483],1,"[5471, 7760, 7412, 5269, 6647, 6278, 5559, 4533, 3888, 5185, 7347, 83, 7983, 7455, 7431, 8237, 6698, 3831, 1735, 147]","[5471, 7760, 7412, 5269, 6647, 6278, 5559, 4533, 3888, 5185]","[5619, 4533, 5471, 5473, 3875, 5185, 6062, 2810, 7412, 7262, 7760, 6647, 3031, 4383, 5423, 6932, 6698, 7124, 3944, 7876]","[5619, 4533, 5471, 5473, 3875, 5185, 6062, 2810, 7412, 7262]","[3875, 7412, 3944, 6647, 5418, 1977, 4383, 4701, 6278, 5473, 6932, 7760, 5471, 7069, 6062, 7983, 6238, 2130, 6407, 7506]","[3875, 7412, 3944, 6647, 5418, 1977, 4383, 4701, 6278, 5473]","[4383, 6134, 5473, 7298, 8237, 5559, 4141, 6062, 7455, 8013, 5008, 7983, 6409, 2721, 6698, 7375, 7876, 7922, 6086, 8241]","[4383, 6134, 5473, 7298, 8237, 5559, 4141, 6062, 7455, 8013]"
статьи про размер полового члена и автомобилей,[7114],1,"[7114, 543, 4370, 3236, 3509, 3597, 7990, 773, 292, 4334, 4830, 2782, 4798, 4749, 7096, 4308, 3412, 7392, 3252, 822]","[7114, 543, 4370, 3236, 3509, 3597, 7990, 773, 292, 4334]","[7114, 292, 4334, 6205, 6400, 543, 2525, 4370, 3197, 1304, 3509, 1443, 3536, 2115, 4830, 3286, 4528, 7990, 3597, 3412]","[7114, 292, 4334, 6205, 6400, 543, 2525, 4370, 3197, 1304]","[7114, 292, 4112, 2525, 6400, 3197, 1304, 4370, 2044, 7990, 3536, 4633, 4830, 3597, 7426, 6998, 3898, 543, 7922, 3236]","[7114, 292, 4112, 2525, 6400, 3197, 1304, 4370, 2044, 7990]","[6162, 3236, 6727, 4749, 1659, 4112, 543, 3803, 7127, 3746, 4370, 7437, 575, 6400, 3696, 1326, 292, 5209, 1443, 7013]","[6162, 3236, 6727, 4749, 1659, 4112, 543, 3803, 7127, 3746]"
связи в мозге героиновых наркоманов,[7873],1,"[7873, 640, 7188, 7174, 6710, 3416, 3766, 4644, 5016, 4315, 6385, 2023, 6177, 6129, 6080, 7071, 6469, 4691, 5578, 8155]","[7873, 640, 7188, 7174, 6710, 3416, 3766, 4644, 5016, 4315]","[7873, 3766, 6121, 7188, 5466, 3325, 7829, 6469, 791, 6710, 8167, 3649, 3100, 5686, 5578, 7476, 3161, 1982, 5652, 4081]","[7873, 3766, 6121, 7188, 5466, 3325, 7829, 6469, 791, 6710]","[7873, 1982, 7188, 5686, 6469, 3766, 7356, 3295, 266, 5122, 2023, 791, 2484, 359, 4635, 7614, 6080, 7072, 640, 8155]","[7873, 1982, 7188, 5686, 6469, 3766, 7356, 3295, 266, 5122]","[2522, 490, 4644, 3156, 3348, 4635, 1931, 8143, 6945, 636, 4609, 2091, 7330, 2304, 4315, 7174, 8214, 7431, 3826, 7614]","[2522, 490, 4644, 3156, 3348, 4635, 1931, 8143, 6945, 636]"
золотой клад времен Пелопоннесской войны,[3206],1,"[3206, 6852, 3314, 7304, 1963, 6257, 4450, 3714, 6970, 3635, 172, 6230, 2719, 6056, 2677, 5705, 4992, 7683, 5531, 2954]","[3206, 6852, 3314, 7304, 1963, 6257, 4450, 3714, 6970, 3635]","[3206, 2954, 3742, 3238, 7304, 4804, 6502, 1164, 2920, 8162, 5560, 3631, 3999, 7310, 8108, 6970, 2719, 7892, 6380, 7520]","[3206, 2954, 3742, 3238, 7304, 4804, 6502, 1164, 2920, 8162]","[3206, 6970, 7624, 8162, 7304, 2954, 2920, 7892, 3999, 6173, 6230, 3238, 2719, 172, 4304, 3742, 131, 5104, 8136, 6852]","[3206, 6970, 7624, 8162, 7304, 2954, 2920, 7892, 3999, 6173]","[3206, 172, 5488, 6026, 6852, 5614, 5806, 4277, 3314, 3305, 5104, 2549, 5531, 2610, 1484, 3714, 1397, 1810, 4304, 3556]","[3206, 172, 5488, 6026, 6852, 5614, 5806, 4277, 3314, 3305]"
размеры коры головного мозга у людей,[7167],1,"[4079, 8090, 8046, 7714, 886, 4826, 6144, 7476, 4117, 2464, 5252, 8211, 4560, 4738, 7467, 8002, 6044, 7154, 4660, 6473]","[4079, 8090, 8046, 7714, 886, 4826, 6144, 7476, 4117, 2464]","[2115, 7907, 8090, 4117, 6297, 4079, 783, 6044, 8211, 7154, 8167, 2464, 4560, 8002, 7559, 7476, 7165, 2496, 2479, 886]","[2115, 7907, 8090, 4117, 6297, 4079, 783, 6044, 8211, 7154]","[7714, 886, 8090, 6297, 6044, 4079, 2496, 7907, 6144, 7559, 7154, 7124, 4826, 3880, 8167, 4117, 6492, 2091, 2115, 783]","[7714, 886, 8090, 6297, 6044, 4079, 2496, 7907, 6144, 7559]","[5502, 7922, 1322, 3826, 7181, 3275, 7124, 320, 2091, 5007, 7330, 7174, 6044, 7714, 650, 6473, 1156, 886, 5976, 6297]","[5502, 7922, 1322, 3826, 7181, 3275, 7124, 320, 2091, 5007]"
статьи про НИУ ВШЭ,[8224],1,"[5986, 6169, 5422, 5976, 6134, 2509, 5774, 6032, 7084, 1699, 4612, 3276, 453, 7927, 8008, 6694, 4798, 4883, 1805, 523]","[5986, 6169, 5422, 5976, 6134, 2509, 5774, 6032, 7084, 1699]","[2491, 5986, 1699, 3276, 453, 4691, 2509, 8008, 7249, 401, 4486, 5832, 6915, 1805, 1138, 164, 6169, 2482, 679, 1254]","[2491, 5986, 1699, 3276, 453, 4691, 2509, 8008, 7249, 401]","[5986, 1699, 1805, 5774, 1207, 4236, 412, 6927, 7084, 2609, 3276, 5397, 2491, 6169, 5832, 8079, 6694, 3538, 6915, 177]","[5986, 1699, 1805, 5774, 1207, 4236, 412, 6927, 7084, 2609]","[1138, 2491, 6915, 7835, 5253, 5739, 177, 7249, 401, 2877, 6588, 453, 7710, 7894, 6169, 4486, 1873, 5422, 1254, 2509]","[1138, 2491, 6915, 7835, 5253, 5739, 177, 7249, 401, 2877]"
влияние чувства защищенности на здоровье,[5629],1,"[5629, 2184, 7956, 5204, 3554, 4803, 2361, 7163, 3997, 3057, 4420, 2454, 3215, 3232, 4479, 3188, 3993, 6798, 4844, 2992]","[5629, 2184, 7956, 5204, 3554, 4803, 2361, 7163, 3997, 3057]","[2361, 5629, 4803, 3215, 2892, 4479, 4399, 4571, 5426, 4739, 3554, 1848, 382, 4944, 5847, 2912, 2454, 485, 8245, 7163]","[2361, 5629, 4803, 3215, 2892, 4479, 4399, 4571, 5426, 4739]","[1848, 4609, 2454, 3215, 485, 5629, 5204, 2443, 2962, 7956, 510, 4479, 4297, 3188, 1946, 3827, 3832, 4803, 2573, 3554]","[1848, 4609, 2454, 3215, 485, 5629, 5204, 2443, 2962, 7956]","[2361, 5629, 3215, 4944, 6123, 6459, 6554, 958, 4424, 2184, 1848, 1566, 2443, 7196, 5916, 4803, 4739, 5041, 4399, 4479]","[2361, 5629, 3215, 4944, 6123, 6459, 6554, 958, 4424, 2184]"
новости о Starlink,[3167],1,"[7045, 1052, 3179, 3167, 8208, 4672, 3720, 5942, 2753, 7383, 6833, 4359, 2066, 7818, 3610, 6134, 7560, 1373, 3653, 3194]","[7045, 1052, 3179, 3167, 8208, 4672, 3720, 5942, 2753, 7383]","[3167, 5942, 3179, 7818, 1052, 5814, 7045, 7645, 4393, 280, 6833, 1707, 693, 1435, 415, 1708, 820, 4463, 1057, 1765]","[3167, 5942, 3179, 7818, 1052, 5814, 7045, 7645, 4393, 280]","[415, 1707, 4217, 4354, 2753, 6450, 1052, 4463, 2066, 1708, 2437, 3610, 3167, 6552, 7645, 7818, 3179, 1057, 5942, 5039]","[415, 1707, 4217, 4354, 2753, 6450, 1052, 4463, 2066, 1708]","[3179, 7645, 1707, 415, 7818, 1052, 4217, 3167, 5942, 2066, 1057, 7045, 6377, 3610, 1792, 1765, 2437, 6450, 7665, 4354]","[3179, 7645, 1707, 415, 7818, 1052, 4217, 3167, 5942, 2066]"
экологически чистые заменители полиэтилена,[7745],1,"[7745, 850, 3389, 196, 6860, 2576, 5624, 7123, 7857, 1988, 2575, 8109, 4218, 994, 4581, 7845, 3476, 5173, 7080, 7945]","[7745, 850, 3389, 196, 6860, 2576, 5624, 7123, 7857, 1988]","[7745, 7120, 6860, 196, 546, 5101, 3476, 7202, 72, 2876, 1469, 6635, 825, 8109, 3389, 6369, 4218, 3642, 5624, 5826]","[7745, 7120, 6860, 196, 546, 5101, 3476, 7202, 72, 2876]","[7745, 2876, 7478, 8109, 546, 8225, 7120, 5624, 975, 3260, 5242, 281, 4744, 179, 7080, 3476, 4817, 2042, 69, 2576]","[7745, 2876, 7478, 8109, 546, 8225, 7120, 5624, 975, 3260]","[8109, 5101, 6126, 1767, 4249, 5695, 5944, 1743, 6602, 2042, 8225, 7120, 5054, 7745, 4425, 546, 3824, 179, 211, 3679]","[8109, 5101, 6126, 1767, 4249, 5695, 5944, 1743, 6602, 2042]"
статистика венерических заболеваний,[3607],1,"[4653, 3641, 612, 3801, 5074, 7152, 3229, 5353, 7710, 7868, 1939, 7050, 4886, 348, 4211, 5907, 6854, 5499, 7491, 1044]","[4653, 3641, 612, 3801, 5074, 7152, 3229, 5353, 7710, 7868]","[3641, 4653, 964, 5921, 272, 6171, 3886, 5031, 612, 129, 5527, 3560, 5278, 2331, 426, 3801, 5459, 6689, 4060, 6481]","[3641, 4653, 964, 5921, 272, 6171, 3886, 5031, 612, 129]","[5921, 4653, 426, 1079, 3886, 5278, 2611, 272, 7558, 6689, 964, 99, 7152, 7697, 6171, 14, 3567, 4432, 83, 6481]","[5921, 4653, 426, 1079, 3886, 5278, 2611, 272, 7558, 6689]","[964, 5921, 6481, 6689, 5031, 5527, 426, 3567, 3801, 5557, 5907, 8030, 1645, 4125, 4432, 1079, 660, 272, 3105, 1044]","[964, 5921, 6481, 6689, 5031, 5527, 426, 3567, 3801, 5557]"
окаменелости в трубках,[7646],1,"[5378, 8173, 1359, 3446, 7861, 7646, 5105, 7289, 3776, 5369, 1833, 1051, 4568, 1094, 822, 116, 7613, 199, 543, 7496]","[5378, 8173, 1359, 3446, 7861, 7646, 5105, 7289, 3776, 5369]","[6243, 5405, 1994, 1453, 7254, 1833, 7324, 1878, 822, 7646, 5083, 5735, 3509, 1051, 5369, 3446, 5378, 607, 1544, 7289]","[6243, 5405, 1994, 1453, 7254, 1833, 7324, 1878, 822, 7646]","[7646, 1453, 3410, 7496, 3381, 2782, 5250, 297, 7324, 1977, 5754, 1051, 3776, 7254, 2660, 7540, 7779, 5614, 7934, 5735]","[7646, 1453, 3410, 7496, 3381, 2782, 5250, 297, 7324, 1977]","[5378, 5250, 7540, 7324, 7920, 6501, 5405, 6257, 5735, 6243, 379, 4158, 1051, 1994, 4888, 1833, 8173, 2660, 6134, 1453]","[5378, 5250, 7540, 7324, 7920, 6501, 5405, 6257, 5735, 6243]"
обучение ассоциативному самообучению,[5605],1,"[5400, 4042, 4750, 2458, 5825, 4031, 221, 710, 6209, 3455, 5353, 1317, 4612, 3285, 7735, 4160, 3355, 5798, 453, 2237]","[5400, 4042, 4750, 2458, 5825, 4031, 221, 710, 6209, 3455]","[5400, 4031, 6076, 5294, 5357, 6203, 5674, 976, 4250, 4127, 6985, 2224, 5856, 6020, 4160, 3554, 6960, 4053, 924, 221]","[5400, 4031, 6076, 5294, 5357, 6203, 5674, 976, 4250, 4127]","[5400, 5357, 5825, 2458, 7837, 5798, 4042, 5053, 1338, 3482, 3298, 1237, 6076, 1551, 504, 6194, 453, 6020, 407, 4031]","[5400, 5357, 5825, 2458, 7837, 5798, 4042, 5053, 1338, 3482]","[5400, 4750, 4053, 6567, 7998, 4612, 6519, 7837, 4860, 1032, 2237, 504, 5357, 5064, 2971, 221, 6076, 6020, 4488, 4031]","[5400, 4750, 4053, 6567, 7998, 4612, 6519, 7837, 4860, 1032]"
