request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other
исследования на животных каннабиса,[6415],1,"[5048, 6415, 1982, 1325, 289, 2702, 1476, 4627, 5755, 3996, 481, 2644, 3978, 268, 4480, 4820, 4382, 435, 3796, 6423]","[5048, 6415, 1982, 1325, 289, 2702, 1476, 4627, 5755, 3996]","[1982, 5048, 2526, 6415, 5438, 1325, 2490, 1476, 4382, 5326, 4480, 3068, 289, 5755, 7529, 7812, 4282, 7033, 1439, 2511]","[1982, 5048, 2526, 6415, 5438, 1325, 2490, 1476, 4382, 5326]","[1982, 5048, 6415, 5755, 1025, 2023, 7424, 3996, 3983, 4480, 4382, 5897, 98, 4787, 686, 8170, 2294, 8067, 1325, 6941]","[1982, 5048, 6415, 5755, 1025, 2023, 7424, 3996, 3983, 4480]"
создание российского аналога Falcon 9,[3182],1,"[3182, 2073, 1765, 5508, 2604, 6833, 4604, 5730, 3337, 1373, 5095, 5243, 3620, 5789, 6372, 4400, 6836, 5523, 889, 7373]","[3182, 2073, 1765, 5508, 2604, 6833, 4604, 5730, 3337, 1373]","[3182, 5743, 598, 5742, 3941, 2073, 2474, 3620, 2499, 5508, 1765, 4604, 6024, 1922, 6674, 7560, 1099, 4092, 1554, 7373]","[3182, 5743, 598, 5742, 3941, 2073, 2474, 3620, 2499, 5508]","[7373, 1765, 1057, 5508, 7560, 2073, 5789, 8208, 3620, 3337, 4604, 4400, 5039, 2753, 3179, 2437, 6450, 6836, 3182, 1922]","[7373, 1765, 1057, 5508, 7560, 2073, 5789, 8208, 3620, 3337]"
история советских спортсменов,[4690],1,"[1192, 7442, 7128, 3445, 6690, 5532, 3279, 4690, 1629, 7957, 6124, 4545, 622, 1509, 2595, 2155, 6680, 543, 7047, 2992]","[1192, 7442, 7128, 3445, 6690, 5532, 3279, 4690, 1629, 7957]","[2278, 5319, 4258, 6242, 5597, 5104, 4690, 973, 1260, 4011, 5659, 6739, 3445, 6736, 1509, 7610, 5532, 3571, 684, 7937]","[2278, 5319, 4258, 6242, 5597, 5104, 4690, 973, 1260, 4011]","[4690, 973, 4985, 5319, 4011, 622, 1273, 1260, 6690, 6739, 7495, 1658, 4833, 2075, 6699, 4258, 3169, 2155, 2900, 684]","[4690, 973, 4985, 5319, 4011, 622, 1273, 1260, 6690, 6739]"
открытия в Пермском,[5420],1,"[1425, 1853, 357, 5965, 1099, 1743, 6559, 5766, 7313, 1229, 5260, 7923, 7053, 5985, 5008, 4146, 3193, 144, 1131, 5405]","[1425, 1853, 357, 5965, 1099, 1743, 6559, 5766, 7313, 1229]","[1425, 477, 4990, 1480, 5834, 144, 5398, 7133, 3193, 1328, 7923, 5101, 4146, 7458, 1253, 3677, 1853, 1131, 6559, 2967]","[1425, 477, 4990, 1480, 5834, 144, 5398, 7133, 3193, 1328]","[1480, 1425, 32, 106, 4990, 477, 2960, 1844, 858, 5398, 3240, 7313, 5468, 1853, 7458, 3193, 3857, 785, 1743, 7385]","[1480, 1425, 32, 106, 4990, 477, 2960, 1844, 858, 5398]"
применение проказы в медицине,[7558],1,"[7558, 2148, 2842, 2793, 533, 1511, 4414, 543, 7550, 5006, 5767, 5359, 4633, 7697, 7116, 405, 3232, 5456, 6964, 4794]","[7558, 2148, 2842, 2793, 533, 1511, 4414, 543, 7550, 5006]","[2148, 2842, 5031, 3180, 2231, 1955, 6774, 1480, 6791, 5666, 5767, 2913, 2021, 7621, 7558, 3082, 893, 2215, 3554, 6964]","[2148, 2842, 5031, 3180, 2231, 1955, 6774, 1480, 6791, 5666]","[2148, 7558, 6236, 1234, 1811, 6791, 4633, 6964, 6806, 1977, 1163, 4914, 6387, 3897, 405, 7621, 5, 7612, 2423, 3936]","[2148, 7558, 6236, 1234, 1811, 6791, 4633, 6964, 6806, 1977]"
новости про алмазный детектор,[219],1,"[6436, 3763, 219, 3075, 4038, 602, 6619, 7501, 4746, 6369, 6275, 5221, 518, 890, 1423, 4982, 6941, 2336, 6289, 6069]","[6436, 3763, 219, 3075, 4038, 602, 6619, 7501, 4746, 6369]","[219, 2582, 7098, 209, 6436, 6275, 612, 3763, 3075, 3483, 7049, 7753, 2973, 6635, 2336, 1301, 2806, 1131, 35, 7746]","[219, 2582, 7098, 209, 6436, 6275, 612, 3763, 3075, 3483]","[219, 3763, 6275, 6436, 518, 1423, 6619, 2336, 6289, 738, 7501, 6069, 2806, 8152, 602, 7746, 1301, 7753, 4746, 2623]","[219, 3763, 6275, 6436, 518, 1423, 6619, 2336, 6289, 738]"
социальное неравенство и деменция,[2126],1,"[2126, 3074, 6580, 5032, 5425, 4388, 6032, 5517, 1342, 4372, 4697, 981, 5238, 516, 3965, 2005, 2574, 5131, 4931, 4728]","[2126, 3074, 6580, 5032, 5425, 4388, 6032, 5517, 1342, 4372]","[2126, 3219, 5802, 4728, 1342, 3135, 3301, 3074, 3140, 4372, 583, 8093, 7566, 5517, 4641, 461, 2002, 3373, 3218, 5425]","[2126, 3219, 5802, 4728, 1342, 3135, 3301, 3074, 3140, 4372]","[2126, 2574, 3219, 3832, 4372, 5353, 3605, 8093, 461, 1972, 1492, 5802, 3074, 6032, 3965, 4697, 5756, 6580, 4117, 1319]","[2126, 2574, 3219, 3832, 4372, 5353, 3605, 8093, 461, 1972]"
парадигма мозга насекомых,[1828],1,"[7797, 7829, 5463, 7165, 7467, 8263, 4267, 7262, 1026, 4079, 7660, 7687, 7837, 6358, 8075, 6340, 5400, 6738, 3125, 92]","[7797, 7829, 5463, 7165, 7467, 8263, 4267, 7262, 1026, 4079]","[7797, 7687, 3830, 7829, 2496, 5947, 3766, 8252, 7330, 7660, 3826, 7165, 4079, 6111, 8263, 5911, 5510, 4815, 4267, 7476]","[7797, 7687, 3830, 7829, 2496, 5947, 3766, 8252, 7330, 7660]","[6111, 7797, 7467, 7660, 7829, 5606, 1753, 5400, 4079, 7837, 7087, 886, 5510, 8129, 956, 7174, 8002, 7687, 4802, 3826]","[6111, 7797, 7467, 7660, 7829, 5606, 1753, 5400, 4079, 7837]"
достижения студентов Пермского Политеха,[6429],1,"[5965, 1480, 1425, 7598, 6460, 1393, 6283, 4146, 5671, 6453, 7053, 425, 785, 5101, 5260, 3240, 1853, 6938, 1099, 2748]","[5965, 1480, 1425, 7598, 6460, 1393, 6283, 4146, 5671, 6453]","[1679, 1425, 6460, 1480, 7893, 5965, 5671, 5823, 6453, 7060, 6152, 1393, 5101, 6330, 6283, 785, 1249, 4146, 2748, 7385]","[1679, 1425, 6460, 1480, 7893, 5965, 5671, 5823, 6453, 7060]","[1480, 1425, 1249, 5965, 1679, 6460, 6152, 1393, 5823, 1229, 6283, 7060, 1328, 4146, 6453, 5671, 3460, 3857, 2960, 3240]","[1480, 1425, 1249, 5965, 1679, 6460, 6152, 1393, 5823, 1229]"
статьи о побочных продуктах нефтедобычи,[7583],1,"[3642, 3615, 642, 6397, 3704, 2192, 4846, 7863, 8055, 6506, 7486, 1926, 2551, 6126, 3246, 2565, 2475, 4069, 1076, 580]","[3642, 3615, 642, 6397, 3704, 2192, 4846, 7863, 8055, 6506]","[685, 7809, 8125, 4637, 8055, 1893, 6049, 3642, 633, 1034, 3704, 4874, 3615, 6974, 1926, 757, 1884, 7863, 4182, 7583]","[685, 7809, 8125, 4637, 8055, 1893, 6049, 3642, 633, 1034]","[685, 4637, 3704, 3642, 580, 8055, 1238, 1293, 2063, 7863, 6506, 1893, 6974, 126, 8125, 3773, 642, 1076, 1884, 5550]","[685, 4637, 3704, 3642, 580, 8055, 1238, 1293, 2063, 7863]"
статьи про привлекательность опасных мужчин,[6764],1,"[773, 6764, 7636, 1800, 3188, 3590, 3541, 3577, 4384, 543, 5570, 6706, 1759, 4308, 4997, 1296, 5958, 7127, 960, 982]","[773, 6764, 7636, 1800, 3188, 3590, 3541, 3577, 4384, 543]","[3541, 3334, 6764, 3590, 6706, 773, 7127, 4997, 5570, 4436, 6786, 3188, 2900, 543, 7477, 3084, 1800, 3219, 6752, 960]","[3541, 3334, 6764, 3590, 6706, 773, 7127, 4997, 5570, 4436]","[3590, 88, 6706, 1759, 2196, 773, 585, 5570, 3219, 6252, 3577, 3188, 3541, 4997, 7127, 6101, 960, 4308, 2454, 3252]","[3590, 88, 6706, 1759, 2196, 773, 585, 5570, 3219, 6252]"
статьи о влиянии климата на человеческую речь,[4893],1,"[4893, 3518, 7076, 2913, 650, 2793, 4199, 6920, 549, 3116, 7962, 4592, 5556, 2123, 5154, 6711, 2772, 3159, 3802, 1458]","[4893, 3518, 7076, 2913, 650, 2793, 4199, 6920, 549, 3116]","[7076, 6920, 7962, 4893, 3518, 7783, 5945, 3327, 4198, 5620, 5381, 6591, 6898, 2772, 2015, 6711, 1272, 5036, 1858, 1061]","[7076, 6920, 7962, 4893, 3518, 7783, 5945, 3327, 4198, 5620]","[7076, 4893, 3518, 6920, 4198, 5381, 7783, 6898, 5620, 7962, 5059, 3200, 2240, 2015, 5945, 2772, 1858, 6591, 1061, 2123]","[7076, 4893, 3518, 6920, 4198, 5381, 7783, 6898, 5620, 7962]"
Канада,"[827, 1947, 2639, 3641, 4864]",5,"[2544, 3136, 7812, 7318, 3994, 1116, 1325, 5920, 2774, 1228, 4480, 1306, 6832, 5358, 1160, 6347, 7530, 7773, 2174, 4331]","[2544, 3136, 7812, 7318, 3994, 1116, 1325, 5920, 2774, 1228]","[3136, 7645, 5920, 2774, 3345, 1325, 2544, 2961, 2558, 1160, 5358, 1982, 5932, 1306, 4836, 7318, 4537, 4654, 4480, 7056]","[3136, 7645, 5920, 2774, 3345, 1325, 2544, 2961, 2558, 1160]","[4855, 2174, 3345, 1160, 3136, 1325, 5920, 7581, 4480, 2544, 4654, 1947, 4537, 4836, 3442, 2961, 7645, 3868, 5358, 971]","[4855, 2174, 3345, 1160, 3136, 1325, 5920, 7581, 4480, 2544]"
генетика и история,[1086],1,"[1479, 769, 4941, 1900, 7101, 7776, 2940, 1584, 3850, 8131, 686, 1853, 4630, 2238, 1728, 7336, 2312, 852, 5269, 711]","[1479, 769, 4941, 1900, 7101, 7776, 2940, 1584, 3850, 8131]","[7776, 1900, 7476, 1853, 6838, 8046, 7760, 4754, 4310, 8131, 5640, 1086, 852, 7182, 7101, 7412, 1584, 4941, 6605, 1191]","[7776, 1900, 7476, 1853, 6838, 8046, 7760, 4754, 4310, 8131]","[1900, 7776, 1584, 6838, 7101, 5211, 910, 1479, 852, 7336, 5799, 5948, 711, 1515, 5269, 679, 2312, 5160, 4630, 6333]","[1900, 7776, 1584, 6838, 7101, 5211, 910, 1479, 852, 7336]"
достижения в клеточном омоложении,[3213],1,"[3296, 7069, 1380, 1090, 5924, 6998, 1977, 1047, 7748, 727, 2133, 1483, 2464, 1694, 3360, 7065, 939, 3831, 7104, 7514]","[3296, 7069, 1380, 1090, 5924, 6998, 1977, 1047, 7748, 727]","[5924, 7861, 3360, 7178, 5804, 1998, 7990, 5754, 8149, 727, 3792, 7713, 8010, 3296, 3213, 7109, 5109, 1380, 6531, 6778]","[5924, 7861, 3360, 7178, 5804, 1998, 7990, 5754, 8149, 727]","[7178, 1998, 7905, 5924, 2143, 5236, 3399, 1984, 1977, 7069, 939, 8010, 6499, 4149, 1756, 6184, 7073, 5747, 3360, 7582]","[7178, 1998, 7905, 5924, 2143, 5236, 3399, 1984, 1977, 7069]"
новости про гравитационные волны,[4008],1,"[1935, 3498, 3521, 831, 2048, 1059, 363, 2189, 2740, 1635, 1836, 7599, 1152, 4352, 7010, 6374, 3716, 4905, 680, 5214]","[1935, 3498, 3521, 831, 2048, 1059, 363, 2189, 2740, 1635]","[1935, 680, 2189, 831, 363, 2048, 6323, 48, 3498, 2455, 1836, 2740, 7489, 2004, 1437, 700, 6949, 1142, 3521, 5591]","[1935, 680, 2189, 831, 363, 2048, 6323, 48, 3498, 2455]","[831, 1935, 48, 680, 6374, 5591, 4821, 2740, 363, 3498, 2189, 3521, 1152, 1703, 5555, 5067, 2048, 2392, 4905, 7599]","[831, 1935, 48, 680, 6374, 5591, 4821, 2740, 363, 3498]"
польза клубники для здоровья,[5836],1,"[5836, 1129, 8119, 5983, 1709, 4551, 7407, 5232, 2849, 465, 5645, 5737, 4944, 8026, 3184, 2120, 6664, 4144, 6886, 5608]","[5836, 1129, 8119, 5983, 1709, 4551, 7407, 5232, 2849, 465]","[5836, 6286, 1968, 6631, 2198, 6886, 6788, 7839, 7407, 2929, 4714, 6486, 8107, 1912, 4515, 5608, 3184, 6522, 1259, 3827]","[5836, 6286, 1968, 6631, 2198, 6886, 6788, 7839, 7407, 2929]","[5836, 4551, 6236, 6886, 7151, 4509, 1934, 6286, 5078, 5645, 4714, 6788, 2120, 5001, 175, 7407, 6664, 1129, 4144, 2198]","[5836, 4551, 6236, 6886, 7151, 4509, 1934, 6286, 5078, 5645]"
статистика верований в ведьм,[7485],1,"[2786, 2624, 5432, 7485, 1600, 7707, 924, 1506, 4241, 2581, 6254, 5589, 2454, 387, 189, 6985, 3219, 2208, 1228, 2600]","[2786, 2624, 5432, 7485, 1600, 7707, 924, 1506, 4241, 2581]","[2786, 4653, 7485, 5776, 4279, 3641, 1228, 6845, 4241, 3532, 1868, 7835, 543, 7067, 4295, 4236, 2043, 4909, 5570, 6979]","[2786, 4653, 7485, 5776, 4279, 3641, 1228, 6845, 4241, 3532]","[7067, 7707, 7485, 4295, 2600, 5327, 5776, 2786, 99, 6845, 4279, 4813, 3920, 4653, 8079, 189, 3641, 3350, 1798, 2523]","[7067, 7707, 7485, 4295, 2600, 5327, 5776, 2786, 99, 6845]"
новости про нейрохирургии,[4395],1,"[6134, 4624, 4393, 6446, 2541, 404, 4541, 5774, 5595, 5976, 5093, 7206, 5144, 5423, 5334, 2569, 5252, 7753, 2668, 5485]","[6134, 4624, 4393, 6446, 2541, 404, 4541, 5774, 5595, 5976]","[5252, 2541, 4393, 5423, 1405, 1254, 1560, 4541, 5774, 2143, 232, 3641, 7618, 7073, 7219, 1917, 6446, 5311, 543, 5093]","[5252, 2541, 4393, 5423, 1405, 1254, 1560, 4541, 5774, 2143]","[5423, 7618, 1334, 5976, 4541, 2900, 2065, 6237, 543, 4354, 4393, 2143, 4961, 4545, 3641, 7753, 7351, 242, 156, 5093]","[5423, 7618, 1334, 5976, 4541, 2900, 2065, 6237, 543, 4354]"
поведение самцов и самок в природе,[5317],1,"[6539, 3978, 4241, 5720, 2708, 1102, 1068, 7426, 5317, 6075, 4559, 6649, 7398, 5272, 1288, 8054, 3299, 7569, 86, 4382]","[6539, 3978, 4241, 5720, 2708, 1102, 1068, 7426, 5317, 6075]","[3978, 7426, 6539, 5724, 1102, 4382, 4118, 8111, 6047, 5720, 6649, 1753, 5317, 1633, 4346, 1068, 1545, 6859, 4241, 6358]","[3978, 7426, 6539, 5724, 1102, 4382, 4118, 8111, 6047, 5720]","[7426, 5317, 5532, 6047, 7569, 5314, 1206, 3978, 4118, 6358, 5294, 1068, 6539, 1633, 1753, 3948, 4241, 7481, 3290, 3299]","[7426, 5317, 5532, 6047, 7569, 5314, 1206, 3978, 4118, 6358]"
тенденции загородного строительства в России,[3377],1,"[3377, 2319, 7951, 6621, 7585, 4447, 2218, 2207, 1542, 5273, 3665, 6666, 1739, 5935, 5450, 6060, 5508, 2376, 7011, 452]","[3377, 2319, 7951, 6621, 7585, 4447, 2218, 2207, 1542, 5273]","[3377, 6621, 3665, 4447, 4004, 7397, 1253, 5508, 2185, 1542, 7585, 7951, 4484, 800, 6926, 6060, 2353, 2901, 7049, 1781]","[3377, 6621, 3665, 4447, 4004, 7397, 1253, 5508, 2185, 1542]","[3377, 6621, 1253, 3665, 1542, 4447, 2353, 5890, 7951, 7585, 4004, 6666, 5508, 546, 2319, 1769, 1781, 3593, 2796, 1268]","[3377, 6621, 1253, 3665, 1542, 4447, 2353, 5890, 7951, 7585]"
"факторы, влияющие на удовлетворенность работой",[4459],1,"[3794, 4259, 3946, 4998, 4790, 3997, 6288, 4459, 1875, 3264, 8175, 4071, 2573, 4520, 2230, 3148, 2801, 2458, 3512, 2088]","[3794, 4259, 3946, 4998, 4790, 3997, 6288, 4459, 1875, 3264]","[3946, 4790, 1875, 4259, 3997, 4114, 6288, 5563, 2458, 2654, 4889, 5426, 3794, 6942, 2088, 383, 4071, 4434, 3068, 3148]","[3946, 4790, 1875, 4259, 3997, 4114, 6288, 5563, 2458, 2654]","[3946, 387, 5426, 2458, 5563, 383, 4790, 2088, 4434, 3942, 3368, 2801, 2500, 4294, 1875, 6252, 2654, 3794, 2454, 7505]","[3946, 387, 5426, 2458, 5563, 383, 4790, 2088, 4434, 3942]"
новости про древние галактики,[2079],1,"[5539, 6796, 4231, 5040, 2791, 2744, 3841, 3800, 1623, 1485, 2412, 7320, 641, 3572, 7997, 4540, 1520, 2252, 914, 1250]","[5539, 6796, 4231, 5040, 2791, 2744, 3841, 3800, 1623, 1485]","[1623, 4231, 7320, 4626, 6796, 5019, 4122, 7997, 641, 1089, 1520, 1689, 2252, 3841, 2282, 4439, 1603, 895, 2681, 1485]","[1623, 4231, 7320, 4626, 6796, 5019, 4122, 7997, 641, 1089]","[6796, 4231, 5819, 5040, 1623, 7320, 4122, 7997, 1485, 895, 617, 4626, 1520, 1089, 102, 641, 2128, 79, 3841, 2252]","[6796, 4231, 5819, 5040, 1623, 7320, 4122, 7997, 1485, 895]"
статьи про искусственный интеллект,[5163],1,"[7898, 6134, 6529, 7316, 7351, 3209, 2985, 7363, 7821, 7589, 5164, 237, 2357, 5163, 3014, 7463, 4173, 7543, 8144, 7695]","[7898, 6134, 6529, 7316, 7351, 3209, 2985, 7363, 7821, 7589]","[7898, 7695, 7589, 3209, 7351, 7363, 7354, 2918, 237, 2151, 7316, 4498, 7588, 2482, 5059, 2077, 2357, 7300, 7333, 7936]","[7898, 7695, 7589, 3209, 7351, 7363, 7354, 2918, 237, 2151]","[7898, 5163, 7363, 7695, 237, 4696, 3209, 7333, 7589, 2985, 2357, 2918, 5028, 4354, 7316, 5761, 5556, 2569, 5986, 3144]","[7898, 5163, 7363, 7695, 237, 4696, 3209, 7333, 7589, 2985]"
газовые конусы в космосе,[3756],1,"[6377, 3653, 8115, 8217, 1733, 1071, 3226, 3097, 1461, 442, 1240, 1948, 859, 3963, 7883, 5694, 6693, 2803, 2221, 700]","[6377, 3653, 8115, 8217, 1733, 1071, 3226, 3097, 1461, 442]","[2803, 7883, 2221, 394, 859, 7194, 7332, 3012, 1519, 8159, 911, 2146, 700, 6178, 5915, 1240, 2973, 1461, 6857, 951]","[2803, 7883, 2221, 394, 859, 7194, 7332, 3012, 1519, 8159]","[2803, 7332, 4033, 7883, 8159, 2837, 7194, 7504, 6857, 394, 4700, 911, 4334, 2221, 6377, 700, 3012, 5202, 8217, 5124]","[2803, 7332, 4033, 7883, 8159, 2837, 7194, 7504, 6857, 394]"
новости про птерозавров,[3564],1,"[2983, 1947, 3564, 3270, 8088, 3630, 5685, 6213, 2591, 1667, 5133, 7179, 5148, 1242, 4843, 6735, 5482, 602, 8015, 1194]","[2983, 1947, 3564, 3270, 8088, 3630, 5685, 6213, 2591, 1667]","[1947, 1667, 2983, 2644, 2246, 8015, 3564, 1194, 3270, 5685, 469, 5133, 4843, 4730, 6263, 6213, 6794, 3878, 68, 137]","[1947, 1667, 2983, 2644, 2246, 8015, 3564, 1194, 3270, 5685]","[2983, 1947, 3270, 4553, 5685, 1667, 6213, 1194, 3564, 3630, 469, 8088, 7656, 1242, 706, 2591, 2246, 7179, 6775, 7430]","[2983, 1947, 3270, 4553, 5685, 1667, 6213, 1194, 3564, 3630]"
исследования горячего газа в космосе,[2803],1,"[1461, 8217, 8115, 5019, 6191, 5946, 5202, 1520, 394, 1490, 1196, 4099, 5414, 5516, 7287, 2409, 4755, 3345, 102, 2347]","[1461, 8217, 8115, 5019, 6191, 5946, 5202, 1520, 394, 1490]","[2803, 911, 5414, 394, 3012, 1196, 6178, 8217, 5946, 1461, 5019, 654, 2769, 7883, 3586, 6191, 700, 5088, 8115, 2740]","[2803, 911, 5414, 394, 3012, 1196, 6178, 8217, 5946, 1461]","[5414, 3586, 2803, 394, 654, 5019, 1196, 1461, 5202, 6191, 2607, 5045, 2383, 2769, 911, 5946, 1520, 3926, 8217, 5711]","[5414, 3586, 2803, 394, 654, 5019, 1196, 1461, 5202, 6191]"
пьезокомпозит со связностью 2–1–2,[5955],1,"[5955, 8011, 8264, 2505, 3901, 1462, 1197, 4181, 4406, 4135, 536, 8020, 2570, 874, 3369, 3225, 6866, 1209, 647, 4863]","[5955, 8011, 8264, 2505, 3901, 1462, 1197, 4181, 4406, 4135]","[5955, 7581, 7619, 3890, 8020, 2612, 2064, 4181, 2505, 7329, 197, 5939, 2570, 2173, 5029, 8011, 2674, 2146, 3901, 8043]","[5955, 7581, 7619, 3890, 8020, 2612, 2064, 4181, 2505, 7329]","[5955, 4524, 3132, 7859, 2064, 2505, 5324, 874, 8177, 6866, 3673, 4181, 3225, 2173, 5580, 8264, 273, 5242, 647, 2612]","[5955, 4524, 3132, 7859, 2064, 2505, 5324, 874, 8177, 6866]"
разработки в области клеев для производства фанеры,[2622],1,"[2622, 7120, 6145, 277, 3070, 2761, 1771, 4679, 5583, 8042, 3452, 7816, 3385, 4890, 7865, 7757, 1003, 5445, 2305, 6436]","[2622, 7120, 6145, 277, 3070, 2761, 1771, 4679, 5583, 8042]","[2622, 7120, 7865, 3070, 7727, 3052, 150, 1763, 7523, 7816, 1537, 3385, 757, 7975, 3740, 7983, 3091, 7711, 5394, 1222]","[2622, 7120, 7865, 3070, 7727, 3052, 150, 1763, 7523, 7816]","[2622, 7120, 3740, 2085, 3091, 2507, 3070, 6005, 3385, 7538, 7865, 1562, 2917, 3505, 2505, 1177, 7923, 1222, 3475, 8042]","[2622, 7120, 3740, 2085, 3091, 2507, 3070, 6005, 3385, 7538]"
вакцины от коронавируса,[6662],1,"[6662, 6790, 5452, 5376, 7542, 4027, 4524, 6057, 2323, 4289, 6876, 7298, 83, 5545, 5578, 1756, 7992, 7404, 6667, 7176]","[6662, 6790, 5452, 5376, 7542, 4027, 4524, 6057, 2323, 4289]","[6662, 7870, 1784, 5729, 4801, 7542, 5759, 6876, 4289, 5376, 6790, 7491, 5536, 2323, 695, 4978, 7067, 5188, 2864, 5452]","[6662, 7870, 1784, 5729, 4801, 7542, 5759, 6876, 4289, 5376]","[6662, 7870, 1784, 5536, 4801, 5188, 6430, 4524, 1756, 6876, 6535, 4835, 2405, 5423, 5759, 4055, 6790, 3905, 4289, 2864]","[6662, 7870, 1784, 5536, 4801, 5188, 6430, 4524, 1756, 6876]"
статьи про яд мамб,[108],1,"[108, 5185, 7348, 4376, 6236, 7635, 3891, 3996, 147, 2903, 1690, 3948, 2367, 232, 1549, 5353, 4409, 5459, 3994, 7298]","[108, 5185, 7348, 4376, 6236, 7635, 3891, 3996, 147, 2903]","[108, 3031, 2367, 2903, 5973, 1549, 3093, 8119, 4069, 830, 8237, 7348, 6847, 7736, 4948, 5999, 938, 8190, 5459, 5289]","[108, 3031, 2367, 2903, 5973, 1549, 3093, 8119, 4069, 830]","[2367, 108, 4958, 830, 1351, 7348, 5008, 3111, 4376, 2362, 4409, 1549, 3093, 7517, 7867, 5353, 339, 6236, 8237, 2043]","[2367, 108, 4958, 830, 1351, 7348, 5008, 3111, 4376, 2362]"
таяние льдов на Марсе,[1478],1,"[1478, 3587, 15, 1745, 7381, 2881, 4758, 1133, 4643, 4617, 1980, 7637, 2471, 3935, 1719, 4331, 1829, 5169, 2768, 2204]","[1478, 3587, 15, 1745, 7381, 2881, 4758, 1133, 4643, 4617]","[1478, 15, 4617, 3587, 1133, 3935, 6363, 4758, 1980, 2420, 2204, 2058, 5180, 1174, 5885, 5169, 7637, 4246, 2568, 7541]","[1478, 15, 4617, 3587, 1133, 3935, 6363, 4758, 1980, 2420]","[1478, 3587, 3599, 1585, 340, 3754, 4693, 2568, 7679, 15, 6363, 5373, 1835, 2204, 491, 775, 3059, 4331, 5180, 4758]","[1478, 3587, 3599, 1585, 340, 3754, 4693, 2568, 7679, 15]"
внеземные породы,"[344, 1793, 2540]",3,"[632, 3454, 3925, 4537, 604, 7760, 8095, 5070, 4130, 816, 6160, 6462, 7031, 3019, 3499, 7192, 5952, 5077, 246, 7798]","[632, 3454, 3925, 4537, 604, 7760, 8095, 5070, 4130, 816]","[7031, 1071, 6794, 318, 5174, 7331, 5961, 8212, 2202, 724, 2589, 809, 7656, 5267, 7295, 1141, 246, 7557, 3917, 1194]","[7031, 1071, 6794, 318, 5174, 7331, 5961, 8212, 2202, 724]","[7031, 8212, 3283, 5267, 6794, 2705, 2343, 7331, 2202, 5961, 2152, 7471, 3248, 6128, 8095, 1194, 1071, 4807, 3917, 4825]","[7031, 8212, 3283, 5267, 6794, 2705, 2343, 7331, 2202, 5961]"
влияние социальных связей на успех в учебе,[4847],1,"[4847, 4436, 319, 3692, 5563, 6821, 3942, 4650, 164, 4193, 7021, 2458, 412, 387, 4609, 4259, 1116, 1032, 1078, 1639]","[4847, 4436, 319, 3692, 5563, 6821, 3942, 4650, 164, 4193]","[4847, 2458, 4436, 5700, 3852, 3692, 4193, 4114, 1206, 3042, 6076, 4979, 6252, 3946, 4010, 3285, 1639, 4997, 319, 5053]","[4847, 2458, 4436, 5700, 3852, 3692, 4193, 4114, 1206, 3042]","[4847, 3042, 2458, 4436, 4259, 5825, 4010, 6252, 4790, 3997, 4609, 2454, 2230, 5700, 4650, 2793, 4307, 3946, 2867, 2055]","[4847, 3042, 2458, 4436, 4259, 5825, 4010, 6252, 4790, 3997]"
исследования мангровых лесов,[7963],1,"[7963, 3631, 1163, 2588, 1161, 7234, 4462, 7162, 3796, 7596, 2903, 6272, 3366, 7684, 6114, 1288, 6361, 5068, 4390, 5352]","[7963, 3631, 1163, 2588, 1161, 7234, 4462, 7162, 3796, 7596]","[7963, 499, 3631, 7105, 6148, 8017, 5421, 6880, 2802, 3645, 1224, 6361, 1161, 4462, 2903, 130, 2714, 7192, 790, 5068]","[7963, 499, 3631, 7105, 6148, 8017, 5421, 6880, 2802, 3645]","[7963, 2714, 4462, 5352, 2720, 6880, 972, 7596, 1345, 7498, 1224, 7162, 3645, 7293, 3486, 6151, 5421, 1161, 5412, 2173]","[7963, 2714, 4462, 5352, 2720, 6880, 972, 7596, 1345, 7498]"
необычные факты о сердце,[115],1,"[2479, 1120, 6103, 115, 3686, 6522, 2242, 4220, 2828, 4093, 2143, 617, 7922, 5869, 690, 8053, 3888, 8160, 3268, 5665]","[2479, 1120, 6103, 115, 3686, 6522, 2242, 4220, 2828, 4093]","[2242, 617, 115, 6750, 1120, 4660, 5861, 8053, 3888, 1420, 7442, 3268, 5733, 5074, 214, 2479, 570, 2842, 543, 990]","[2242, 617, 115, 6750, 1120, 4660, 5861, 8053, 3888, 1420]","[2242, 617, 1120, 1420, 8160, 3268, 4093, 6789, 5686, 6040, 3628, 5912, 7622, 2479, 6481, 7055, 1449, 807, 6512, 7918]","[2242, 617, 1120, 1420, 8160, 3268, 4093, 6789, 5686, 6040]"
